postalCode,lat,lng
20000,21.8734,-102.2806
20010,21.9644,-102.3192
20016,21.8115,-102.2957
20018,21.9644,-102.3192
20020,21.8376,-102.321
20029,21.8376,-102.321
20030,21.8115,-102.2957
20040,21.9725,-102.3114
20049,21.9725,-102.3114
20050,21.6806,-102.3567
20059,21.8197,-102.2364
20060,21.8734,-102.2806
20064,21.8734,-102.2806
20070,21.8734,-102.2806
20078,21.8734,-102.2806
20080,21.8734,-102.2806
20089,21.8734,-102.2806
20100,21.9922,-102.2014
20110,21.8484,-102.3247
20115,21.8542,-102.2175
20116,21.7795,-102.5374
20117,21.8484,-102.3247
20118,21.7458,-102.3303
20119,21.8484,-102.3247
20120,22.0161,-102.1909
20123,22.0161,-102.1909
20124,22.0161,-102.1909
20126,21.9364,-102.2725
20127,22.0161,-102.1909
20129,22.0161,-102.1909
20130,21.7806,-102.3478
20135,22.1014,-102.2728
20136,21.7089,-102.3528
20137,21.8636,-102.3244
20138,21.8636,-102.3244
20140,21.8443,-102.2682
20146,21.8115,-102.2957
20149,21.918,-102.2603
20150,21.8125,-102.3203
20157,21.9235,-102.2752
20158,21.8495,-102.3052
20159,21.8495,-102.3052
20160,21.7561,-102.305
20164,21.7561,-102.305
20169,21.7561,-102.305
20170,21.7058,-102.1497
20172,21.9222,-102.2375
20174,21.7883,-102.1242
20175,21.8996,-102.2112
20177,21.8996,-102.2112
20179,21.8115,-102.2957
20180,21.8963,-102.2672
20190,21.6858,-102.4515
20196,21.8894,-102.2174
20198,21.8614,-102.3127
20199,21.8614,-102.3127
20200,21.8444,-102.355
20205,21.8287,-102.3265
20206,21.8442,-102.3225
20207,21.8287,-102.3265
20208,21.8287,-102.3265
20210,22.003,-102.1098
20216,22.003,-102.1098
20217,22.003,-102.1098
20218,22.003,-102.1098
20219,21.8115,-102.2957
20220,21.8115,-102.2957
20229,21.9483,-102.1202
20230,21.8169,-102.1044
20234,21.8767,-102.1885
20235,21.8767,-102.1885
20236,21.8767,-102.1885
20237,21.9364,-102.2725
20238,21.8767,-102.1885
20239,21.8115,-102.2957
20240,21.8115,-102.2957
20247,22.0085,-102.4813
20248,22.0085,-102.4813
20249,21.8115,-102.2957
20250,21.8667,-102.3167
20255,22.0114,-102.2116
20256,22.0114,-102.2116
20257,21.8115,-102.2957
20259,22.0114,-102.2116
20260,21.8461,-102.2703
20263,21.8669,-102.2848
20264,21.8461,-102.2703
20265,21.8461,-102.2703
20266,21.784,-102.2268
20267,21.8461,-102.2703
20268,21.8461,-102.2703
20269,21.8461,-102.2703
20270,21.8956,-102.2705
20276,21.8956,-102.2705
20277,21.8956,-102.2705
20278,21.8956,-102.2705
20280,21.8518,-102.2122
20283,21.8518,-102.2122
20284,21.7339,-102.1572
20285,21.8518,-102.2122
20286,21.8518,-102.2122
20287,21.8518,-102.2122
20288,21.8518,-102.2122
20289,21.8518,-102.2122
20290,21.7897,-102.2797
20291,21.8098,-102.265
20296,21.8098,-102.265
20297,21.8558,-102.2732
20298,21.8061,-102.2656
20299,21.8098,-102.265
20310,21.8839,-102.3658
20311,21.9274,-102.3193
20313,21.7556,-102.3503
20314,21.8942,-102.3708
20315,21.8644,-102.3536
20316,21.876,-102.3529
20317,21.855,-102.3787
20319,21.8814,-102.3669
20320,21.9578,-102.2473
20321,21.8115,-102.2957
20322,21.9578,-102.2473
20323,22.0486,-102.1154
20324,22.0153,-102.1458
20326,21.9426,-102.2796
20328,21.9578,-102.2473
20329,21.8115,-102.2957
20340,21.8011,-102.2738
20341,21.6875,-102.4481
20342,21.8049,-102.2921
20344,21.8253,-102.1878
20345,21.7578,-102.3288
20346,21.7817,-102.4675
20348,21.6747,-102.3001
20349,21.7578,-102.3288
20363,21.9516,-102.1532
20364,21.9581,-102.2153
20366,21.8115,-102.2957
20367,21.8781,-102.2383
20369,21.8451,-102.2442
20370,21.8625,-102.4
20371,21.835,-102.3697
20372,21.7801,-102.3749
20373,21.7593,-102.494
20375,21.704,-102.3421
20376,21.7312,-102.4989
20377,21.7176,-102.4128
20379,21.6639,-102.372
20384,21.8678,-102.1858
20385,21.8117,-102.2928
20386,21.7808,-102.1656
20389,21.7833,-102.075
20390,21.7268,-102.2687
20391,21.7676,-102.3617
20392,21.756,-102.3022
20393,21.7268,-102.2687
20394,21.7268,-102.2687
20395,21.7392,-102.185
20396,21.7164,-102.2894
20399,21.6667,-102.3
20700,22.077,-102.0555
20704,22.1036,-102.0851
20705,22.0517,-102.0189
20708,22.0688,-102.0634
20709,22.0413,-102.1111
20710,22.2297,-102.105
20712,22.2297,-102.105
20713,22.2297,-102.105
20714,22.2297,-102.105
20715,22.2297,-102.105
20716,22.2297,-102.105
20717,22.2297,-102.105
20720,22.2769,-102.0356
20721,22.2167,-102.05
20722,22.1943,-102.0194
20723,22.2872,-102.0419
20724,22.2299,-102.0578
20727,22.2299,-102.0578
20728,22.1264,-102.0455
20729,22.1403,-102.1375
20730,22.1628,-102.0947
20732,22.177,-102.0118
20734,22.1714,-102.027
20736,22.1456,-102.0258
20738,22.1348,-102.0331
20739,22.1281,-102.0497
20740,22.1339,-102.1083
20741,22.1619,-102.1915
20742,22.1344,-102.1953
20744,22.1029,-102.1449
20746,22.1033,-102.1828
20748,22.1021,-102.1739
20749,22.0906,-102.1819
20750,22.1239,-102.0615
20760,22.0624,-102.0945
20765,22.0501,-102.0493
20768,22.0563,-102.0719
20770,22.0894,-101.9421
20771,22.0572,-101.9289
20773,22.0594,-101.9114
20775,22.0391,-101.9061
20777,22.0283,-101.9
20779,22.0313,-101.9329
20780,22.1164,-101.9789
20782,22.1199,-102.0052
20785,22.0881,-101.9817
20790,22.0879,-101.969
20792,22.045,-101.8692
20794,22.039,-101.8922
20795,22.0372,-101.9592
20796,22.0233,-101.8739
20797,22.036,-101.9013
20799,21.9891,-101.8786
20800,21.8614,-102.7027
20802,21.9378,-102.6771
20803,21.854,-102.6999
20804,21.8542,-102.6914
20805,21.8311,-102.7503
20810,22.0425,-102.682
20814,21.9721,-102.6129
20816,21.9007,-102.7049
20820,21.9378,-102.6771
20824,21.9602,-102.6046
20830,21.864,-102.6983
20832,21.8813,-102.6166
20834,22.0144,-102.6761
20840,21.8396,-102.6111
20842,21.8092,-102.5548
20844,21.8324,-102.6333
